Best romantic vacation ever!!!!	Translation	Positive	Negative	EmotionRationale
Sweet sweet serenity	Sweet sweet serenity	2	-1	 Sweet[1] sweet[1] serenity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Amazing Property and Experience	Amazing Property and Experience	3	-1	 Amazing[2] Property[0] and[0] Experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Never again...beware, if you want sleep.	Never again.<br>beware, if you want sleep.	1	-2	 Never[0] again[0] [[Sentence=-1,1=word max, 1-5]] beware[-1] if[0] you[0] want[0] sleep[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ALWAYS GREAT STAY...	ALWAYS GREAT STAY.	3	-1	 ALWAYS[0] GREAT[2] STAY[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Wonderful stay	Wonderful stay	3	-1	 Wonderful[2] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Worth the money	Worth the money	1	-1	 Worth[0] the[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great Hotel Experiece!	Great Hotel Experiece!	3	-1	 Great[2] Hotel[0] Experiece[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Short stay for business.	Short stay for business.	1	-1	 Short[0] stay[0] for[0] business[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Amazing employees and facilities	Amazing employees and facilities	3	-1	 Amazing[2] employees[0] and[0] facilities[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
I loved our stay here	I loved our stay here	4	-1	 I[0] loved[3] our[0] stay[0] here[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Hampton Inn - Vancouver WA	Hampton In - Vancouver WA	1	-1	 Hampton[0] Inn/In[0] Vancouver[0] WA[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Perfection	Perfection	2	-1	 Perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Good hotel. Worth checking out.	Good hotel.<br> Worth checking out.	2	-1	 Good[1] hotel[0] [[Sentence=-1,2=word max, 1-5]] Worth[0] checking[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Excellent!	Excellent!	4	-1	 Excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Very pleased	Very pleased	3	-1	 Very[0] pleased[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Excellent Stay	Excellent Stay	4	-1	 Excellent[3] Stay[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Beautiful lobby but rooms need help	Beautiful lobby but rooms need help	3	-1	 Beautiful[2] lobby[0] but[0] rooms[0] need[0] help[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Hotel's 1920s charm and elegance remain fresh	Hotel's 1920s charm and elegance remain fresh	2	-1	 Hotel's[0] 1920s[0] charm[1] and[0] elegance[1] remain[0] fresh[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Excellent stay	Excellent stay	4	-1	 Excellent[3] stay[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Thank you, Garth Brooks!	Thank you, Garth Brooks!	2	-1	 Thank[1] you[0] Garth[0] Brooks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Extended stay	Extended stay	1	-1	 Extended[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Convenient, cute and moderately comfrotable	Convenient, cute and moderately comfrotable	2	-1	 Convenient[0] cute[1] and[0] moderately[0] comfrotable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Perfectly fine hotel for a visit to SF	Perfectly fine hotel for a visit to SF	3	-1	 Perfectly[1] fine[2] hotel[0] for[0] a[0] visit[0] to[0] SF[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Staff!	Great Staff!	3	-1	 Great[2] Staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Not so good, not so bad	Not so good, not so bad	2	-2	 Not[0] so[0] good[1][NegatedDueToPreviousWord] not[0] so[0] bad[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
DO NOT stay here!!!!!!!!!!!	DO NOT stay here!	2	-1	 DO[0] NOT[0] stay[0] here[0][+0.6 EmphasisInPunctuation] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Filthy hotel and crooked people who own it!	Filthy hotel and crooked people who own it!	1	-2	 Filthy[-1] hotel[0] and[0] crooked[-1] people[0] who[0] own[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
THE DC TRIP	THE DC TRIP	1	-1	 THE[0] DC[0] TRIP[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice location	Nice location	2	-1	 Nice[1] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Hampton Inn	Hampton In	1	-1	 Hampton[0] Inn/In[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Gracious and helpful staff	Gracious and helpful staff	2	-1	 Gracious[1] and[0] helpful[1] staff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
beautiful, convenient location	beautiful, convenient location	3	-1	 beautiful[2] convenient[0] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
great!!!!!!	great!	4	-1	 great[2][+0.6 EmphasisInPunctuation] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Awesome Stay	Awesome Stay	3	-1	 Awesome[2] Stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Reasonable price for exceptional hotel	Reasonable price for exceptional hotel	1	-1	 Reasonable[0] price[0] for[0] exceptional[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Excellent!	Excellent!	4	-1	 Excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Great Room	Great Room	3	-1	 Great[2] Room[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
GREAT LOCATION	GREAT LOCATION	3	-1	 GREAT[2] LOCATION[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
great stay	great stay	3	-1	 great[2] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Best	Best	2	-1	 Best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Easter Get Away	Easter Get Away	1	-1	 Easter[0] Get[0] Away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Hampton inn	Hampton in	1	-1	 Hampton[0] inn/in[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Overall it was good but AC sucks!!	Overall it was good but AC sucks!	2	-3	 Overall[0] it[0] was[0] good[1] but[0] AC[0] sucks[-1][-0.6 EmphasisInPunctuation] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
Extremely comfortable	Extremely comfortable	4	-1	 Extremely[0] comfortable[1][2 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
TV sucks	TV sucks	1	-2	 TV[0] sucks[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Will definately stay there again	Will definately stay there again	1	-1	 Will[0] definately[0] stay[0] there[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great conference stay	Great conference stay	3	-1	 Great[2] conference[0] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Nice	Nice	2	-1	 Nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
More than Expected	More than Expected	1	-1	 More[0] than[0] Expected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Conference stay	Conference stay	1	-1	 Conference[0] stay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Amazing!	Amazing!	3	-1	 Amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Happy in Texas.	Happy in Texas.	2	-1	 Happy[1] in[0] Texas[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great staff, great breakfast, great experience	Great staff, great breakfast, great experience	3	-1	 Great[2] staff[0] great[2] breakfast[0] great[2] experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great hotel	Great hotel	3	-1	 Great[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good hotel	Good hotel	2	-1	 Good[1] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Affordable premium lodging	Affordable premium lodging	1	-1	 Affordable[0] premium[0] lodging[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Friendly staff, large clean room.	Friendly staff, large clean room.	2	-1	 Friendly[1] staff[0] large[0] clean[0] room[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Good place to Stay	Good place to Stay	2	-1	 Good[1] place[0] to[0] Stay[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Hosted Client Event	Hosted Client Event	1	-1	 Hosted[0] Client[0] Event[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Splendid	Splendid	3	-1	 Splendid[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Perfect start to the honeymoon	Perfect start to the honeymoon	2	-1	 Perfect[1] start[0] to[0] the[0] honeymoon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Best hotel in the country!	Best hotel in the country!	2	-1	 Best[1] hotel[0] in[0] the[0] country[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Truly a grand experience	Truly a grand experience	2	-1	 Truly[1] a[0] grand[1] experience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
You MUST stay here	You MUST stay here	1	-1	 You[0] MUST[0] stay[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
A nice getaway for a price	A nice getaway for a price	2	-1	 A[0] nice[1] getaway[0] for[0] a[0] price[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Amazing Experience	Amazing Experience	3	-1	 Amazing[2] Experience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Wonderful quiet resort	Wonderful quiet resort	3	-1	 Wonderful[2] quiet[0] resort[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
It Almost Lives Up To Its Rating	It Almost Lives Up To Its Rating	1	-1	 It[0] Almost[0] Lives[0] Up[0] To[0] Its[0] Rating[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Its hard to improve on perfection.	Its hard to improve on perfection.	2	-1	 Its[0] hard[0] to[0] improve[1] on[0] perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Top choice for San Diego	Top choice for San Diego	1	-1	 Top[0] choice[0] for[0] San[0] Diego[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Stunning Hotel for 30th Birthday	Stunning Hotel for 30th Birthday	1	-1	 Stunning[0] Hotel[0] for[0] 30th[0] Birthday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Top Notch Hotel in SoCal	Top Notch Hotel in SoCal	1	-1	 Top[0] Notch[0] Hotel[0] in[0] SoCal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
San Diego Fairmont Excellence	San Diego Fairmont Excellence	4	-1	 San[0] Diego[0] Fairmont[0] Excellence[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Best Hotel I have EVER stayed at	Best Hotel I have EVER stayed at	2	-1	 Best[1] Hotel[0] I[0] have[0] EVER[0] stayed[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Fly and go	Fly and go	1	-1	 Fly[0] and[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Helpful Staff!	Helpful Staff!	2	-1	 Helpful[1] Staff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Decent hotel at O'Hare.	Decent hotel at O'Hare.	1	-1	 Decent[0] hotel[0] at[0] O'Hare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Bad	Bad	1	-2	 Bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Excellent We Had a BLAST in the WATER Park Hotel	Excellent We Had a BLAST in the WATER Park Hotel	4	-1	 Excellent[3] We[0] Had[0] a[0] BLAST[0] in[0] the[0] WATER[0] Park[0] Hotel[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Awesome hotel.	Awesome hotel.	3	-1	 Awesome[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Impeccable customer service overall experience	Impeccable customer service overall experience	1	-1	 Impeccable[0] customer[0] service[0] overall[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
